Feature,Importance
ap_hi,0.31761031425993186
age,0.17435289387431735
ap_lo,0.13775828825795955
bmi,0.10401620614730714
weight,0.07727073258439837
height,0.06690107088137764
cholesterol,0.065524239047994
gluc,0.017402076099069824
active,0.012326700069020494
gender,0.010700248222464395
smoke,0.008676008407800844
alco,0.007461222148358696
