Model,Accuracy,F1_Score,Precision,Recall,AUC,Best_Params
Gradient_Boosting,0.7321064882164678,0.718188078659423,0.7489626556016598,0.6898427164486256,0.7990997492212971,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}"
Decision_Tree,0.7315245853942391,0.7123821397958389,0.7580431177446103,0.6719094517124798,0.7875292069828592,"{'max_depth': 5, 'min_samples_split': 50}"
Random_Forest,0.7289060226942101,0.7120896098879876,0.7504070335395636,0.6774952226958695,0.7987076912136019,"{'max_depth': 10, 'n_estimators': 50}"
Logistic_Regression,0.7253418679080593,0.705781517843229,0.7509534073951252,0.6657357048361017,0.7893393705631286,"{'C': 0.1, 'max_iter': 1000}"
KNN,0.7166860634274076,0.7064586630492125,0.7248685431487782,0.688960752609143,0.7774545533049992,"{'n_neighbors': 15, 'weights': 'uniform'}"
